轨面高,限界,二级超限,建筑限界*(正线),非正线  
150,1320,1400,1471,1471
160,1330,1400,1477,1477
170,1340,1400,1482,1482
180,1350,1400,1488,1488
190,1360,1400,1494,1494
200,1370,1400,1500,1500
210,1380,1400,1725,1725
220,1390,1400,1725,1725
230,1400,1400,1725,1725
240,1410,1410,1725,1725
250,1420,1420,1725,1725
260,1430,1430,1725,1725
270,1440,1440,1725,1725
280,1450,1450,1725,1725
290,1460,1460,1725,1725
300,1470,1470,1725,1725
310,1480,1480,1725,1725
320,1490,1490,1725,1725
330,1500,1500,1725,1725
340,1510,1510,1725,1725
350,1520,1520,1725,1725
360,1600,1650,1875,1750
370,1600,1650,1875,1750
380,1600,1650,1875,1750
390,1600,1650,1875,1750
400,1600,1650,1875,1750
410,1600,1650,1875,1750
420,1600,1650,1875,1750
430,1600,1650,1875,1750
440,1600,1650,1875,1750
450,1600,1650,1875,1750
460,1600,1650,1875,1750
470,1600,1650,1875,1750
480,1600,1650,1875,1750
490,1600,1650,1875,1750
500,1600,1650,1875,1750
510,1600,1650,1875,1750
520,1600,1650,1875,1750
530,1600,1650,1875,1750
540,1600,1650,1875,1750
550,1600,1650,1875,1750
560,1600,1650,1875,1750
570,1600,1650,1875,1750
580,1600,1650,1875,1750
590,1600,1650,1875,1750
600,1600,1650,1875,1750
610,1600,1650,1875,1750
620,1600,1650,1875,1750
630,1600,1650,1875,1750
640,1600,1650,1875,1750
650,1600,1650,1875,1750
660,1600,1650,1875,1750
670,1600,1650,1875,1750
680,1600,1650,1875,1750
690,1600,1650,1875,1750
700,1600,1650,1875,1750
710,1600,1650,1875,1750
720,1600,1650,1875,1750
730,1600,1650,1875,1750
740,1600,1650,1875,1750
750,1600,1650,1875,1750
760,1600,1650,1875,1750
770,1600,1650,1875,1750
780,1600,1650,1875,1750
790,1600,1650,1875,1750
800,1600,1650,1875,1750
810,1600,1650,1875,1750
820,1600,1650,1875,1750
830,1600,1650,1875,1750
840,1600,1650,1875,1750
850,1600,1650,1875,1750
860,1600,1650,1875,1750
870,1600,1650,1875,1750
880,1600,1650,1875,1750
890,1600,1650,1875,1750
900,1600,1650,1875,1750
910,1600,1650,1875,1750
920,1600,1650,1875,1750
930,1600,1650,1875,1750
940,1600,1650,1875,1750
950,1600,1650,1875,1750
960,1600,1650,1875,1750
970,1600,1650,1875,1750
980,1600,1650,1875,1750
990,1600,1650,1875,1750
1000,1600,1650,1875,1750
1010,1600,1650,1875,1750
1020,1600,1650,1875,1750
1030,1600,1650,1875,1750
1040,1600,1650,1875,1750
1050,1600,1650,1875,1750
1060,1600,1650,1875,1750
1070,1600,1650,1875,1750
1080,1600,1650,1875,1750
1090,1600,1650,1875,1750
1100,1600,1650,1875,1750
1110,1600,1650,2376,1750
1120,1600,1650,2382,1750
1130,1600,1650,2389,1750
1140,1600,1650,2395,1750
1150,1600,1650,2401,1750
1160,1600,1650,2408,1750
1170,1600,1650,2414,1750
1180,1600,1650,2420,1750
1190,1600,1650,2427,1750
1200,1600,1650,2433,1750
1210,1600,1650,2440,1750
1220,1600,1650,2440,1750
1230,1600,1650,2440,1750
1240,1600,1650,2440,1750
